Location,Crossnumber,FemalePlotName,Mother,Cycle,MalePlotName,Father,First_Pollination_Date,days_pollination_now,approx_no_months
Arusha,NM201807_(136632C2/136357),16NM_ITC1460-IjihuInkundu_plot277_r14c18,ITC1460,2,16NM_ITC0609-Pahang_plot168_r8c1,ITC0609 Pahang,2018-07-17,213, 7
Arusha,NM201807_(136675C2/136357),16NM_ITC1455-MchareMlelembo_plot403_r20c18,ITC1455-Mchare Mlelembo,2,16NM_ITC0609-Pahang_plot168_r8c1,ITC0609 Pahang,2018-07-24,206, 7
Arusha,NM201807_(136713C2/136357),16NM_ITC1468-Kahuti_plot9_r1c9,ITC1468,2,16NM_ITC0609-Pahang_plot168_r8c1,ITC0609 Pahang,2018-07-25,205, 7
Arusha,NM201807_495,16NM_Huti-white_plot127r7c1,Huti-white,,,ITC0249 Calcutta 4,2018-07-16,214, 7
Arusha,NM201807_500,16NM_Huti-white_plot128r7c2,Huti-white,,,ITC0253 Borneo,2018-07-20,210, 7
Arusha,NM201807_507,16NM_Huti-white_plot378r18c1,Huti-white,,,SH3142,2018-07-30,200, 7
Arusha,NM201807_508,16NM_Huti-white_plot464r23c2,Huti-white,,,SH3142,2018-07-30,200, 7
Arusha,NM201808_(136454C2/136490),16NM_ITC1455-MchareMlelembo_plot370_r18c9,ITC1455-Mchare Mlelembo,2,16NM_ITC0712-AAcvRose_plot42_r2c1,ITC0712,2018-08-16,183, 6
Arusha,NM201808_(136540C2/136510),16NM_ITC1455-MchareMlelembo_plot441_r21c21,ITC1455-Mchare Mlelembo,2,16NM_ITC0609-Pahang_plot169_r9c1,ITC0609 Pahang,2018-08-03,196, 7
Arusha,NM201808_(136540C3/136653),16NM_ITC1455-MchareMlelembo_plot441_r21c21,ITC1455-Mchare Mlelembo,3,16NM_ITC0609-Pahang_plot210_r10c1,ITC0609 Pahang,2018-08-07,192, 6
Arusha,NM201808_(136571C2/136510),16NM_ITC1455-MchareMlelembo_plot401_r20c20,ITC1455-Mchare Mlelembo,2,16NM_ITC0609-Pahang_plot169_r9c1,ITC0609 Pahang,2018-08-10,189, 6
Arusha,NM201808_(136601C2/136328),16NM_ITC1455-MchareMlelembo_plot426_r21c6,ITC1455-Mchare Mlelembo,2,16NM_ITC0609-Pahang_plot211_r11c1,ITC0609 Pahang,2018-08-16,183, 6
Arusha,NM201808_(136601C2/136706),16NM_ITC1455-MchareMlelembo_plot426_r21c6,ITC1455-Mchare Mlelembo,2,16NM_ITC0712-AAcvRose_plot85_r5c1,ITC0712,2018-08-16,183, 6
