Location,Crossnumber,Repeat_Pollination_Date
Arusha,NM201903_(152892C1/161424),2019-03-27
Arusha,NM201903_(153098C1/161582),2019-03-29
Arusha,NM201903_(136465C2/161582),2019-04-01
Arusha,NM201903_(152450C1/161564),2019-04-04
Arusha,NM201904_(152865C1/161582),2019-04-03
Arusha,NM201904_(152779C1/161582),2019-04-05
Arusha,NM201904_(153160C1/161503),2019-04-10
Arusha,NM201904_(153160C1/161503),2019-04-11
Arusha,NM201904_(152793C1/161582),2019-04-12
Arusha,NM201904_(153014C1/161503),2019-04-15
Arusha,NM201904_(136721C2/161503),2019-04-16
Arusha,NM201904_(136455C2/161503),2019-04-17
Arusha,NM201904_(136584C2/136604),2019-04-19
Arusha,NM201904_(136307C2/136604),2019-04-23
Arusha,NM201904_(136532C2/136604),2019-04-24
Arusha,NM201904_(136341C2/161503),2019-04-25
Arusha,NM201904_(136324C2/161554),2019-04-26
Arusha,NM201904_(136717C2/161503),2019-04-29
Arusha,NM201904_(152559C1/161554),2019-04-30
Arusha,NM201904_(152899C1/161554),2019-05-01
Arusha,NM201904_(152681C1/161554),2019-05-02
Arusha,NM201905_(152973C1/161554),2019-05-03
Arusha,NM201905_(152657C1/161554),2019-05-07
Arusha,NM201905_(153006C1/161554),2019-05-08
Arusha,NM201905_(153006C1/161554),2019-05-09
Arusha,NM201905_(152776C1/161446),2019-05-13
Arusha,NM201905_(153006C1/161554),2019-05-10
Arusha,NM201905_(152599C1/161446),2019-05-14
Arusha,NM201903_(153170C1/161582),2019-03-20
Arusha,NM201903_(152941C1/161424),2019-03-21
Arusha,NM201903_(152495C1/161582),2019-03-22
Arusha,NM201903_(152892C1/161424),2019-03-26
Arusha,NM201903_(152610C1/161582),2019-03-27
Arusha,NM201903_(152566C1/161582),2019-04-04
Arusha,NM201903_(152450C1/161564),2019-04-03
Arusha,NM201904_(152421C1/161582),2019-04-05
Arusha,NM201904_(152689C1/161582),2019-04-09
Arusha,NM201904_(152689C1/161582),2019-04-10
Arusha,NM201904_(152689C1/161582),2019-04-11
Arusha,NM201904_(153160C1/161503),2019-04-12
Arusha,NM201904_(153101C1/161503),2019-04-12
Arusha,NM201904_(153160C1/161503),2019-04-15
Arusha,NM201904_(136455C2/161503),2019-04-16
Arusha,NM201904_(136629C2/161582),2019-04-17
Arusha,NM201904_(136293C3/161582),2019-04-19
Arusha,NM201904_(136341C2/161503),2019-04-24
Arusha,NM201904_(136532C2/136604),2019-04-25
Arusha,NM201904_(136523C2/161503),2019-04-26
Arusha,NM201904_(152681C1/161554),2019-05-01
Arusha,NM201905_(152973C1/161554),2019-05-02
Arusha,NM201905_(153006C1/161554),2019-05-03
Arusha,NM201905_(136414C2/161554),2019-05-06
Arusha,NM201904_(153109C1/161554),2019-05-07
Arusha,NM201905_(152973C1/161554),2019-05-08
Arusha,NM201905_(152973C1/161554),2019-05-10
Arusha,NM201903_(152636C1/161582),2019-03-19
Arusha,NM201903_(152697C2/161582),2019-03-22
Arusha,NM201903_(152892C1/161424),2019-03-29
Arusha,NM201903_(152566C1/161582),2019-04-02
Arusha,NM201904_(152779C1/161582),2019-04-04
Arusha,NM201903_(152566C1/161582),2019-04-03
Arusha,NM201903_(153107C1/161468),2019-04-05
Arusha,NM201904_(152994C1/161582),2019-04-09
Arusha,NM201904_(152994C1/161582),2019-04-10
Arusha,NM201904_(152994C1/161582),2019-04-11
Arusha,NM201904_(152644C1/161582),2019-04-12
Arusha,NM201904_(152689C1/161582),2019-04-15
Arusha,NM201904_(153014C1/161503),2019-04-17
Arusha,NM201904_(136629C2/161582),2019-04-18
Arusha,NM201904_(136532C2/136604),2019-04-19
Arusha,NM201904_(136707C2/136604),2019-04-24
Arusha,NM201904_(136717C2/161503),2019-04-25
Arusha,NM201904_(136707C2/136604),2019-04-26
Arusha,NM201904_(153109C1/161554),2019-05-03
Arusha,NM201905_(152973C1/161554),2019-05-06
Arusha,NM201905_(153006C1/161554),2019-05-07
Arusha,NM201905_(153055C1/161477),2019-05-13
Arusha,NM201905_(153055C1/161477),2019-05-14
Arusha,NM201903_(136556C2/161424),2019-03-19
Arusha,NM201903_(152495C1/161582),2019-03-21
Arusha,NM201903_(153052C1/161582),2019-03-22
Arusha,NM201903_(153107C1/161468),2019-03-29
Arusha,NM201903_(152450C1/161564),2019-04-02
Arusha,NM201904_(152779C1/161582),2019-04-03
Arusha,NM201904_(152711C1/161582),2019-04-09
Arusha,NM201904_(152711C1/161582),2019-04-10
