FemalePlotName,Crossnumber_1,Crossnumber_2,number_crosses
16NM_ITC1468-Kahuti_plot95_r5c11,NM201811_(136529C2/136510),,1
16NM_ITC1468-Kahuti_plot81_r4c4,NM201811_(136554C2/136460),,1
16NM_ITC1460-IjihuInkundu_plot345_r17c9,NM201811_(136581C2/136460),,1
16NM_MchareLaini_plot255_r13c3,NM201811_(136627C2/136460),,1
16NM_ITC1460-IjihuInkundu_plot297_r15c3,NM201811_(136628C2/136460),,1
16NM_ITC1460-IjihuInkundu_plot290_r14c5,NM201811_(136648C2/136357),,1
16NM_ITC1468-Kahuti_plot56_r3c14,NM201811_(136659C2/161503),,1
16NM_ITC1460-IjihuInkundu_plot293_r14c2,NM201811_(136662C2/136706),,1
16NM_ITC1455-MchareMlelembo_plot403_r20c18,NM201811_(136675C3/136510),,1
16NM_MchareLaini_plot257_r13c5,NM201811_(136704C2/136510),,1
16NM_Huti-white_plot111_r6c16,NM201811_(136712C2/136295),,1
16NM_ITC1468-Kahuti_plot4_r1c4,NM201811_(136719C2/136460),,1
16NM_MchareLaini_plot196_r10c15,NM201811_(136722C2/136357),,1
16NM_Huti-white_plot715r35c1,NM201811_(152445C1/161584),,1
16NM_Huti-white_plot757r37c1,NM201811_(152770C1/161584),,1
16NM_Huti-white_plot673r33c1,NM201811_(152936C1/161503),,1
16NM_ITC1460-IjihuInkundu_plot316_r16c21,NM201812_(136304C2/136510),,1
16NM_ITC1460-IjihuInkundu_plot291_r14c4,NM201812_(136321C2/161503),,1
16NM_ITC1468-Kahuti_plot49_r3c7,NM201812_(136363C2/161503),,1
16NM_ITC1468-Kahuti_plot24_r2c19,NM201812_(136365C2/161584),,1
16NM_ITC1460-IjihuInkundu_plot314_r15c20,NM201812_(136375C2/161584),,1
16NM_MchareLaini_plot270_r13c18,NM201812_(136393C2/161503),,1
16NM_Huti-white_plot180_r9c12,NM201812_(136402C2/161582),,1
16NM_ITC1460-IjihuInkundu_plot312_r15c18,NM201812_(136447C2/161503),,1
16NM_Huti-white_plot183_r9c15,NM201812_(136501C2/161584),,1
16NM_ITC1455-MchareMlelembo_plot400_r20c21,NM201812_(136530C2/136392),NM201812_(136530C2/136706),2
16NM_Huti-white_plot151_r8c18,NM201812_(136536C2/136653),,1
16NM_ITC1468-Kahuti_plot86_r5c2,NM201812_(136560C2/136706),,1
16NM_ITC1460-IjihuInkundu_plot344_r17c8,NM201812_(136598C2/161503),,1
