.id,Crossnumber,Location,FemalePlotName,Mother,Cycle,MalePlotName,Father,First_Pollination_Date,Bunch_Harvest_Date,Seed_Extraction_Date,Total_Seeds,Embryo_Rescue_Date,Good_Seeds,Number_of_Embryo_Rescued,Germination_Date,Number_of_Embryo_Germinating
1,NM201810_(136301C2/136653),Arusha,16NM_ITC1455-MchareMlelembo_plot424_r21c4,ITC1455-Mchare Mlelembo,2,16NM_ITC0609-Pahang_plot210_r10c1,ITC0609 Pahang,2018-09-29,,,,,,,,
1,NM201810_(136309C2/136460),Arusha,16NM_ITC1468-Kahuti_plot31_r2c12,ITC1468,2,16NM_ITC0712-AAcvRose_plot1_r1c1,ITC0712,2018-10-08,2019-01-23,2019-02-15,2,2019-02-26,2,2,,
1,NM201810_(136311C2/136510),Arusha,16NM_ITC1468-Kahuti_plot11_r1c11,ITC1468,2,16NM_ITC0609-Pahang_plot169_r9c1,ITC0609 Pahang,2018-10-02,2019-02-07,,,,,,,
1,NM201810_(136316C2/136460),Arusha,16NM_ITC1460-IjihuInkundu_plot292_r14c3,ITC1460,2,16NM_ITC0712-AAcvRose_plot1_r1c1,ITC0712,2018-10-09,2019-01-24,2019-01-31,54,2019-02-07,34,34,,
1,NM201810_(136319C2/136357),Arusha,16NM_ITC1468-Kahuti_plot29_r2c14,ITC1468,2,16NM_ITC0609-Pahang_plot168_r8c1,ITC0609 Pahang,2018-10-19,,,,,,,,
1,NM201810_(136325C2/136460),Arusha,16NM_ITC1455-MchareMlelembo_plot429_r21c9,ITC1455-Mchare Mlelembo,2,16NM_ITC0712-AAcvRose_plot1_r1c1,ITC0712,2018-10-26,,,,,,,,
1,NM201810_(136327C2/136490),Arusha,16NM_ITC1468-Kahuti_plot58_r3c16,ITC1468,2,16NM_ITC0712-AAcvRose_plot42_r2c1,ITC0712,2018-10-16,2019-02-13,,,,,,,
1,NM201810_(136376C2/136460),Arusha,16NM_ITC1460-IjihuInkundu_plot307_r15c13,ITC1460,2,16NM_ITC0712-AAcvRose_plot1_r1c1,ITC0712,2018-10-03,2019-01-23,2019-02-06,66,2019-02-07,36,36,,
1,NM201810_(136381C2/136357),Arusha,16NM_ITC1468-Kahuti_plot96_r5c12,ITC1468,2,16NM_ITC0609-Pahang_plot168_r8c1,ITC0609 Pahang,2018-10-16,2019-03-19,,,,,,,
1,NM201810_(136432C2/136357),Arusha,16NM_ITC1455-MchareMlelembo_plot438_r21c18,ITC1455-Mchare Mlelembo,2,16NM_ITC0609-Pahang_plot168_r8c1,ITC0609 Pahang,2018-10-16,2019-02-26,,,,,,,
1,NM201810_(136442C2/136510),Arusha,16NM_ITC1468-Kahuti_plot97_r5c13,ITC1468,2,16NM_ITC0609-Pahang_plot169_r9c1,ITC0609 Pahang,2018-10-01,2019-02-21,,,,,,,
1,NM201810_(136444C2/136460),Arusha,16NM_ITC1468-Kahuti_plot12_r1c12,ITC1468,2,16NM_ITC0712-AAcvRose_plot1_r1c1,ITC0712,2018-10-03,,,,,,,,
1,NM201810_(136451C2/136510),Arusha,16NM_ITC1455-MchareMlelembo_plot405_r20c16,ITC1455-Mchare Mlelembo,2,16NM_ITC0609-Pahang_plot169_r9c1,ITC0609 Pahang,2018-10-02,2019-02-25,2019-02-28,1,2019-03-21,1,1,,
1,NM201810_(136464C2/136295),Arusha,16NM_ITC1460-IjihuInkundu_plot338_r17c2,ITC1460,2,16NM_ITC0712-AAcvRose_plot84_r4c1,ITC0712,2018-10-17,,,,,,,,
1,NM201810_(136473C2/136460),Arusha,16NM_ITC1468-Kahuti_plot83_r4c2,ITC1468,2,16NM_ITC0712-AAcvRose_plot1_r1c1,ITC0712,2018-10-08,2019-03-25,,,,,,,
1,NM201810_(136482C2/136510),Arusha,16NM_ITC1460-IjihuInkundu_plot328_r16c9,ITC1460,2,16NM_ITC0609-Pahang_plot169_r9c1,ITC0609 Pahang,2018-10-26,2019-02-21,,,,,,,
1,NM201810_(136493C2/136460),Arusha,16NM_ITC1468-Kahuti_plot46_r3c4,ITC1468,2,16NM_ITC0712-AAcvRose_plot1_r1c1,ITC0712,2018-10-04,,,,,,,,
1,NM201810_(136496C2/136460),Arusha,16NM_ITC1460-IjihuInkundu_plot301_r15c7,ITC1460,2,16NM_ITC0712-AAcvRose_plot1_r1c1,ITC0712,2018-10-29,,,,,,,,
1,NM201810_(136498C2/136460),Arusha,16NM_ITC1455-MchareMlelembo_plot436_r21c16,ITC1455-Mchare Mlelembo,2,16NM_ITC0712-AAcvRose_plot1_r1c1,ITC0712,2018-10-08,2019-01-29,2019-02-22,3,2019-02-26,3,3,,
1,NM201810_(136507C2/161548),Arusha,16NM_ITC1460-IjihuInkundu_plot296_r15c2,ITC1460,2,Males_ITC0609_Pahang_r1c11_plot19,ITC0609 Pahang,2018-10-08,2019-01-24,2019-01-31,105,2019-02-07,94,94,,
1,NM201810_(136516C2/136460),Arusha,16NM_ITC1455-MchareMlelembo_plot407_r20c14,ITC1455-Mchare Mlelembo,2,16NM_ITC0712-AAcvRose_plot1_r1c1,ITC0712,2018-10-08,2019-02-01,,,,,,,
1,NM201810_(136521C2/136460),Arusha,16NM_Huti-white_plot125_r6c2,Huti-white,2,16NM_ITC0712-AAcvRose_plot1_r1c1,ITC0712,2018-10-29,,,,,,,,
1,NM201810_(136545C2/136460),Arusha,16NM_ITC1460-IjihuInkundu_plot349_r17c13,ITC1460,2,16NM_ITC0712-AAcvRose_plot1_r1c1,ITC0712,2018-10-22,,,,,,,,
1,NM201810_(136545C3/136460),Arusha,16NM_ITC1460-IjihuInkundu_plot349_r17c13,ITC1460,3,16NM_ITC0712-AAcvRose_plot1_r1c1,ITC0712,2018-10-26,,,,,,,,
