PlotName,PlotID,TrialName
16NM_ITC1455-MchareMlelembo_plot370_r18c9,136454,2016 NM_Pollination block
16NM_ITC1460-IjihuInkundu_plot309_r15c15,136455,2016 NM_Pollination block
16NM_ITC1468-Kahuti_plot68_r4c17,136457,2016 NM_Pollination block
16NM_Huti-white_plot188_r9c20,136456,2016 NM_Pollination block
16NM_ITC1460-IjihuInkundu_plot315_r15c21,136459,2016 NM_Pollination block
16NM_ITC1455-MchareMlelembo_plot402_r20c19,136458,2016 NM_Pollination block
16NM_ITC0712-AAcvRose_plot1_r1c1,136460,2016 NM_Pollination block
16NM_Huti-white_plot116_r6c11,136462,2016 NM_Pollination block
16NM_Huti-white_plot136_r7c10,136461,2016 NM_Pollination block
16NM_ITC1455-MchareMlelembo_plot416_r20c5,136463,2016 NM_Pollination block
16NM_Huti-white_plot144_r7c18,136465,2016 NM_Pollination block
16NM_ITC1460-IjihuInkundu_plot338_r17c2,136464,2016 NM_Pollination block
16NM_ITC1468-Kahuti_plot100_r5c16,136467,2016 NM_Pollination block
16NM_ITC1455-MchareMlelembo_plot380_r19c2,136466,2016 NM_Pollination block
16NM_MchareLaini_plot222_r11c12,136469,2016 NM_Pollination block
16NM_ITC1460-IjihuInkundu_plot300_r15c6,136468,2016 NM_Pollination block
16NM_ITC1468-Kahuti_plot25_r2c18,136470,2016 NM_Pollination block
16NM_Huti-white_plot120_r6c7,136472,2016 NM_Pollination block
16NM_ITC1460-IjihuInkundu_plot286_r14c9,136471,2016 NM_Pollination block
16NM_ITC1468-Kahuti_plot83_r4c2,136473,2016 NM_Pollination block
16NM_ITC1460-IjihuInkundu_plot305_r15c11,136475,2016 NM_Pollination block
16NM_ITC1455-MchareMlelembo_plot381_r19c3,136474,2016 NM_Pollination block
16NM_ITC1460-IjihuInkundu_plot308_r15c14,136476,2016 NM_Pollination block
16NM_MchareLaini_plot254_r13c2,136478,2016 NM_Pollination block
16NM_ITC1455-MchareMlelembo_plot392_r19c14,136477,2016 NM_Pollination block
16NM_Huti-white_plot177_r9c9,136479,2016 NM_Pollination block
16NM_ITC1455-MchareMlelembo_plot373_r18c6,136480,2016 NM_Pollination block
16NM_MchareLaini_plot217_r11c7,136481,2016 NM_Pollination block
16NM_ITC1460-IjihuInkundu_plot328_r16c9,136482,2016 NM_Pollination block
16NM_MchareLaini_plot239_r12c14,136483,2016 NM_Pollination block
16NM_Huti-white_plot122_r6c5,136484,2016 NM_Pollination block
16NM_Huti-white_plot143_r7c17,136485,2016 NM_Pollination block
16NM_ITC1468-Kahuti_plot22_r2c21,136491,2016 NM_Pollination block
16NM_ITC0712-AAcvRose_plot42_r2c1,136490,2016 NM_Pollination block
16NM_Huti-white_plot158_r8c11,136489,2016 NM_Pollination block
16NM_MchareLaini_plot205_r10c6,136488,2016 NM_Pollination block
16NM_MchareLaini_plot269_r13c17,136487,2016 NM_Pollination block
16NM_ITC1460-IjihuInkundu_plot281_r14c14,136486,2016 NM_Pollination block
16NM_ITC1455-MchareMlelembo_plot363_r18c16,136492,2016 NM_Pollination block
16NM_ITC1468-Kahuti_plot46_r3c4,136493,2016 NM_Pollination block
16NM_ITC1455-MchareMlelembo_plot399_r19c21,136494,2016 NM_Pollination block
16NM_MchareLaini_plot235_r12c18,136495,2016 NM_Pollination block
16NM_ITC1460-IjihuInkundu_plot301_r15c7,136496,2016 NM_Pollination block
16NM_ITC1468-Kahuti_plot6_r1c6,136497,2016 NM_Pollination block
16NM_ITC1455-MchareMlelembo_plot436_r21c16,136498,2016 NM_Pollination block
16NM_ITC1468-Kahuti_plot36_r2c7,136499,2016 NM_Pollination block
16NM_ITC1468-Kahuti_plot94_r5c10,136502,2016 NM_Pollination block
16NM_Huti-white_plot183_r9c15,136501,2016 NM_Pollination block
16NM_MchareLaini_plot213_r11c3,136500,2016 NM_Pollination block
16NM_ITC1468-Kahuti_plot51_r3c9,136503,2016 NM_Pollination block
16NM_ITC1455-MchareMlelembo_plot362_r18c17,136505,2016 NM_Pollination block
16NM_ITC1455-MchareMlelembo_plot439_r21c19,136504,2016 NM_Pollination block
16NM_MchareLaini_plot265_r13c13,136508,2016 NM_Pollination block
16NM_ITC1460-IjihuInkundu_plot296_r15c2,136507,2016 NM_Pollination block
16NM_ITC1460-IjihuInkundu_plot317_r16c20,136506,2016 NM_Pollination block
16NM_Huti-white_plot132_r7c6,136511,2016 NM_Pollination block
16NM_ITC0609-Pahang_plot169_r9c1,136510,2016 NM_Pollination block
16NM_ITC1455-MchareMlelembo_plot411_r20c10,136509,2016 NM_Pollination block
16NM_Huti-white_plot171_r9c3,136512,2016 NM_Pollination block
16NM_ITC1455-MchareMlelembo_plot398_r19c20,136513,2016 NM_Pollination block
16NM_ITC1455-MchareMlelembo_plot384_r19c6,136514,2016 NM_Pollination block
16NM_ITC1455-MchareMlelembo_plot386_r19c8,136515,2016 NM_Pollination block
16NM_ITC1455-MchareMlelembo_plot407_r20c14,136516,2016 NM_Pollination block
16NM_MchareLaini_plot200_r10c11,136517,2016 NM_Pollination block
16NM_ITC1468-Kahuti_plot18_r1c18,136518,2016 NM_Pollination block
16NM_ITC1455-MchareMlelembo_plot376_r18c3,136519,2016 NM_Pollination block
16NM_ITC1455-MchareMlelembo_plot366_r18c13,136520,2016 NM_Pollination block
16NM_Huti-white_plot125_r6c2,136521,2016 NM_Pollination block
16NM_ITC1460-IjihuInkundu_plot329_r16c8,136522,2016 NM_Pollination block
16NM_ITC1468-Kahuti_plot44_r3c2,136523,2016 NM_Pollination block
16NM_ITC1468-Kahuti_plot27_r2c16,136524,2016 NM_Pollination block
16NM_MchareLaini_plot272_r13c20,136525,2016 NM_Pollination block
16NM_Huti-white_plot161_r8c8,136526,2016 NM_Pollination block
16NM_MchareLaini_plot190_r10c21,136527,2016 NM_Pollination block
16NM_ITC1460-IjihuInkundu_plot298_r15c4,136528,2016 NM_Pollination block
