location,crossnumber,motherAccessionName,fatherAccessionName,firstpollination_date,harvesting_date,days_to_maturity,seed_extraction_date,days_harvest_extraction,total_seeds,good_seeds,badseeds,number_rescued,rescue_date,days_extraction_rescue,germination_after_8weeks_date,actively_germination_after_8weeks,contamination
Arusha,T1652,Kisukari Mchare,SH3142,2015-06-09,2015-11-04,148,2015-11-12,8,0,,,,,,,,
Arusha,T1653,SH3142,Paliama,2015-06-10,2015-12-22,195,2016-01-07,16,100,2,28,2,2016-01-08,,2016-03-08,0,
Arusha,T1654,Tjau Lagada,Guyod,2015-06-10,2016-03-14,278,2016-03-21,7,0,,,,,,,,
Arusha,T1656,Nshonowa,Calcutta 4,2015-06-11,2015-11-11,153,2015-11-19,8,0,,,,,,,,
Arusha,T1657,Kisukari Mchare,Borneo,2015-06-11,2015-11-04,146,2015-11-12,8,0,,,,,,,,
Arusha,T1658,Kisukari Mchare,Borneo,2015-06-12,2015-11-11,152,2015-11-19,8,0,,,,,,,,
Arusha,T1661,Kisukari Mchare,Calcutta 4,2015-06-16,2015-11-11,148,2015-11-19,8,0,,,,,,,,
Arusha,T1664,Pahang,Guyod,2015-06-19,2015-12-03,167,2015-12-10,7,5,28,0,28,2015-12-15,,2016-02-13,24,
Arusha,T1665,IITA 02145/1320,cv-Rose,2015-06-19,2016-03-03,258,2016-03-10,7,4,2,2,2,2016-03-11,,2016-05-10,2,
Arusha,T1666,Kwaro,Zebrina GF,2015-06-24,2015-10-23,121,2015-11-03,11,0,,,,,,,,
Arusha,T1667,Yenai,Malaccensis,2015-06-24,2015-10-12,110,2015-10-20,8,6,6,0,0,2015-10-22,,2015-12-21,0,
Arusha,T1668,Kisukari Mchare,Calcutta 4,2015-06-26,2015-12-02,159,2015-12-10,8,0,,,,,,,,
Arusha,T1669,Pahang,Guyod,2015-06-27,2015-11-04,130,2015-11-12,8,0,,,,,,,,
Arusha,T1670,Nshonowa,Borneo,2015-06-27,2015-11-11,137,2015-11-19,8,0,,,,,,,,
Arusha,T1671,Kisukari Mchare,Calcutta 4,2015-06-27,2015-12-03,159,2015-12-10,7,0,,,,,,,,
Arusha,T1672,Kisukari Mchare,Borneo,2015-06-27,2015-11-04,130,2015-11-12,8,0,,,,,,,,
Arusha,T1674,Akondro mainty,Calcutta 4,2015-06-29,2015-12-22,176,2016-01-07,16,1,1,0,1,2016-01-08,,2016-03-08,1,
Arusha,T1675,Nshonowa,Calcutta 4,2015-06-30,2015-11-11,134,2015-11-19,8,0,,,,,,,,
Arusha,T1677,Nshonowa,Borneo,2015-07-01,2015-11-11,133,2015-11-19,8,6,0,6,0,2015-11-20,,2016-01-19,0,
Arusha,T1679,Kisukari Mchare,SH3142,2015-07-02,2015-11-11,132,2015-11-19,8,0,,,,,,,,
Arusha,T1680,Huti-white,Borneo,2015-07-02,2015-12-22,173,2016-01-07,16,1,0,1,0,2016-01-08,,2016-03-08,0,
Arusha,T1681,Nshonowa,Borneo,2015-07-03,2015-11-11,131,2015-11-19,8,0,,,,,,,,
Arusha,T1682,Kisukari Mchare,Calcutta 4,2015-07-03,2015-12-02,152,2015-12-10,8,0,,,,,,,,
Arusha,T1684,Yenai,Malaccensis,2015-07-04,2015-10-23,111,2015-11-06,14,8,5,3,2,2015-11-09,,2016-01-08,0,
Arusha,T1685,Kisukari Mchare,Calcutta 4,2015-07-06,2015-12-02,149,2015-12-10,8,0,,,,,,,,
Arusha,T1687,Huti-white,Calcutta 4,2015-07-06,2015-12-22,169,2016-01-07,16,9,9,0,9,2016-01-08,,2016-03-08,1,
Arusha,T1688,IITA 02145/1320,cv-Rose,2015-07-06,2016-03-10,248,2016-03-17,7,0,,,,,,,,
