.id,Crossnumber,Location,FemalePlotName,Mother,Cycle,MalePlotName,Father,First_Pollination_Date,Bunch_Harvest_Date,Seed_Extraction_Date,Total_Seeds,Embryo_Rescue_Date,Good_Seeds,Number_of_Embryo_Rescued,Germination_Date,Number_of_Embryo_Germinating
1,SE201812_(162486C1/132608),Sendusu,29275S-4_14_R1P6,29275S-4,1,17-8075-7_R3C3_plot33,8075-7,2018-12-07,,,,,,,,
1,SE201812_(162494C1/132684),Sendusu,29364S-2_14_R12P1,29364S-2,1,17-7197-2_R11C5_plot155,7197-2,2018-12-13,2019-03-15T00:00:00.000+03,,,,,,,
1,SE201812_(162500C1/132625),Sendusu,Entukura_14_Phase1_R5C14,Entukura,1,17-SH3362_R19C7_plot277,SH3362,2018-12-20,2019-03-12T00:00:00.000+03,2019-03-14,0,,,,,
1,SE201812_(162526C1/132684),Sendusu,Entukura_14_Phase1_R4C11,Entukura,1,17-7197-2_R11C5_plot155,7197-2,2018-12-03,2019-02-25T00:00:00.000+03,2019-03-14,8,,,,,
1,SE201812_(162577C1/132624),Sendusu,Entukura_14_Phase1_R6C13,Entukura,1,17-5265-1_R8C3_plot108,TMB2X5265-1,2018-12-22,,,,,,,,
1,SE201812_(162623C1/132522),Sendusu,Nakyetengu_14_Phase1_R8C2,IITA-Nakyetengu,1,17-5265-1_R9C5_plot125,TMB2X5265-1,2018-12-04,,,,,,,,
1,SE201812_(162654C1/132379),Sendusu,Nakasabira_14_Phase1_R33C3,Nakasabira,1,17-9128-3_R4C4_plot49,9128-3,2018-12-24,2019-03-20T00:00:00.000+03,,,,,,,
1,SE201812_(162681C1/132316),Sendusu,Entukura_14_Phase1_R5C7,Entukura,1,17-8075-7_R2C1_plot16,8075-7,2018-12-04,2019-02-25T00:00:00.000+03,2019-03-07,0,,,,,
1,SE201812_(162682C1/132707),Sendusu,Enzirabahima_14_Phase1_R25C16,ITC1354,1,17-8075-7_R3C4_plot34,8075-7,2018-12-07,2019-03-04T00:00:00.000+03,,,,,,,
1,SE201812_(162742C1/132316),Sendusu,Nfuuka_14_Phase1_R13C1,Nfuuka,1,17-8075-7_R2C1_plot16,8075-7,2018-12-24,,,,,,,,
1,SE201812_(162745C1/132348),Sendusu,Nfuuka_14_Phase1_R15C7,Nfuuka,1,17-7197-2_R11C3_plot153,7197-2,2018-12-26,2019-03-12T00:00:00.000+03,,,,,,,
1,SE201812_(162763C1/132684),Sendusu,Nfuuka_14_Phase1_R14C11,Nfuuka,1,17-7197-2_R11C5_plot155,7197-2,2018-12-12,2019-03-04T00:00:00.000+03,,,,,,,
1,SE201812_(162840C1/132522),Sendusu,Nakyetengu_14_Phase1_R9C2,IITA-Nakyetengu,1,17-5265-1_R9C5_plot125,TMB2X5265-1,2018-12-13,,,,,,,,
1,SE201812_(162847C1/132330),Sendusu,Tereza_14_Phase1_R18C9,Tereza,1,17-8075-7_R3C1_plot31,8075-7,2018-12-28,,,,,,,,
1,SE201812_(162851C1/132707),Sendusu,Entukura_14_Phase1_R6C12,Entukura,1,17-8075-7_R3C4_plot34,8075-7,2018-12-03,,,,,,,,
1,SE201812_(162870C1/132625),Sendusu,Entukura_14_Phase1_R6C18,Entukura,1,17-SH3362_R19C7_plot277,SH3362,2018-12-04,2019-02-25,2019-03-07,1,,,,,
1,SE201812_(162890C1/132316),Sendusu,Nfuuka_14_Phase1_R14C8,Nfuuka,1,17-8075-7_R2C1_plot16,8075-7,2018-12-26,,,,,,,,
1,SE201812_(162892C1/132498),Sendusu,Enzirabahima_14_Phase1_R26C15,ITC1354,1,17-9128-3_R4C1_plot46,9128-3,2018-12-07,,,,,,,,
1,SE201812_(162935C1/132514),Sendusu,Tereza_14_Phase2_R18C8,Tereza,1,17-7197-2_R12C6_plot171,7197-2,2018-12-07,2019-03-15T00:00:00.000+03,,,,,,,
1,SE201812_(162947C1/132697),Sendusu,Kazirakwe_14_Phase2_R28C10,ITC1355,1,17-SH3217_R13C5_plot185,SH3217,2018-12-24,,,,,,,,
1,SE201812_(162971C1/132332),Sendusu,Kazirakwe_14_Phase2_R29C7,ITC1355,1,17-8075-7_R1C11_plot11,8075-7,2018-12-20,2019-03-12T00:00:00.000+03,,,,,,,
1,SE201812_(162992C1/132484),Sendusu,Kazirakwe_14_Phase2_R29C8,ITC1355,1,17-7197-2_R12C12_plot177,7197-2,2018-12-20,2019-03-12,,,,,,,
1,SE201812_(163006C1/132555),Sendusu,Kazirakwe_14_Phase2_R28C4,ITC1355,1,17-9128-3_R4C15_plot60,9128-3,2018-12-28,2019-03-20T00:00:00.000+03,,,,,,,
1,SE201812_(163062C1/132348),Sendusu,Nakasabira_14_Phase2_R33C10,Nakasabira,1,17-7197-2_R11C3_plot153,7197-2,2018-12-10,,,,,,,,
1,SE201812_(163063C1/132552),Sendusu,Nfuuka_14_Phase2_R14C4,Nfuuka,1,17-7197-2_R10C3_plot138,7197-2,2018-12-27,,,,,,,,
1,SE201812_(163073C1/132608),Sendusu,Entukura_14_Phase2_R4C10,Entukura,1,17-8075-7_R3C3_plot33,8075-7,2018-12-15,2019-03-12T00:00:00.000+03,,,,,,,
1,SE201812_(163091C1/132608),Sendusu,Nakasabira_14_Phase2_R32C1,Nakasabira,1,17-8075-7_R3C3_plot33,8075-7,2018-12-08,2019-03-12T00:00:00.000+03,,,,,,,
1,SE201812_(163113C1/132505),Sendusu,Kabucuragye_14_Phase2_R20C6,Kabucuragye,1,17-SH3217_R13C3_plot183,SH3217,2018-12-12,2019-03-04T00:00:00.000+03,,,,,,,
1,SE201812_(163127C1/132533),Sendusu,Nakyetengu_14_Phase2_R7C10,IITA-Nakyetengu,1,17-8075-7_R2C5_plot20,8075-7,2018-12-04,2019-03-15T00:00:00.000+03,,,,,,,
1,SE201812_(163135C1/132514),Sendusu,Enzirabahima_14_Phase2_R25C5,ITC1354,1,17-7197-2_R12C6_plot171,7197-2,2018-12-24,2019-03-20T00:00:00.000+03,,,,,,,
1,SE201812_(163136C1/132709),Sendusu,Kabucuragye_14_Phase2_R19C10,Kabucuragye,1,17-SH3217_R14C1_plot196,SH3217,2018-12-03,2019-03-12T00:00:00.000+03,,,,,,,
1,SE201812_(163139C1/132316),Sendusu,Nakasabira_14_Phase2_R33C9,Nakasabira,1,17-8075-7_R2C1_plot16,8075-7,2018-12-26,,,,,,,,
1,SE201812_(163146C1/132452),Sendusu,Nakasabira_14_Phase2_R31C9,Nakasabira,1,17-9128-3_R4C7_plot52,9128-3,2018-12-12,2019-03-04T00:00:00.000+03,,,,,,,
1,SE201812_(163172C1/132379),Sendusu,Nakyetengu_16_Phase3_R7C2,IITA-Nakyetengu,1,17-9128-3_R4C4_plot49,9128-3,2018-12-05,,,,,,,,
1,SE201812_(163201C1/132522),Sendusu,Nakyetengu_16_Phase3_R7C1,IITA-Nakyetengu,1,17-5265-1_R9C5_plot125,TMB2X5265-1,2018-12-14,,,,,,,,
1,SE201812_(163215C1/132484),Sendusu,Tereza_16_Phase3_R18C4,Tereza,1,17-7197-2_R12C12_plot177,7197-2,2018-12-05,2019-03-12T00:00:00.000+03,,,,,,,
1,SE201812_(163218C1/132505),Sendusu,Nakasabira_16_Phase3_R31C1,Nakasabira,1,17-SH3217_R13C3_plot183,SH3217,2018-12-26,,,,,,,,
1,SE201812_(163219C1/132522),Sendusu,Enzirabahima_16_Phase3_R25C3,ITC1354,1,17-5265-1_R9C5_plot125,TMB2X5265-1,2018-12-07,2019-03-04T00:00:00.000+03,2019-03-14,0,,,,,
1,SE201812_(163251C1/132649),Sendusu,Kazirakwe_16_Phase3_R29C1,ITC1355,1,17-9128-3_R4C11_plot56,9128-3,2018-12-03,2019-02-27T00:00:00.000+03,2019-03-07,0,,,,,
1,SE201812_(163253C1/132379),Sendusu,Kabucuragye_16_Phase3_R21C5,Kabucuragye,1,17-9128-3_R4C4_plot49,9128-3,2018-12-17,,,,,,,,
1,SE201812_(163264C1/132514),Sendusu,Kazirakwe_16_Phase3_R28C1,ITC1355,1,17-7197-2_R12C6_plot171,7197-2,2018-12-05,2019-03-01,2019-03-07,115,,,,,
1,SE201812_(163287C1/132697),Sendusu,Enzirabahima_16_Phase3_R26C10,ITC1354,1,17-SH3217_R13C5_plot185,SH3217,2018-12-13,2019-03-15T00:00:00.000+03,,,,,,,
