Location,Crossnumber,FemalePlotName,Mother,Cycle,MalePlotName,Father,First_Pollination_Date,Bunch_Harvest_Date,Seed_Extraction_Date,Total_Seeds,Good_Seeds,Number_of_Embryo_Rescued,Embryo_Rescue_Date,Germination_after_2_Weeks_Date,Active_after_2_Weeks,Germination_after_8_Weeks_Date,Active_after_8_Weeks,Days_to_Maturity,Days_in_ripening_shed
Sendusu,SE201812_(162847C1/132330),Tereza_14_Phase1_R18C9,Tereza,1,17-8075-7_R3C1_plot31,8075-7,2018-12-28,,,,,,,,,,,,
Sendusu,SE201812_(162851C1/132707),Entukura_14_Phase1_R6C12,Entukura,1,17-8075-7_R3C4_plot34,8075-7,2018-12-03,,,,,,,,,,,,
Sendusu,SE201812_(162870C1/132625),Entukura_14_Phase1_R6C18,Entukura,1,17-SH3362_R19C7_plot277,SH3362,2018-12-04,,,,,,,,,,,,
Sendusu,SE201812_(162890C1/132316),Nfuuka_14_Phase1_R14C8,Nfuuka,1,17-8075-7_R2C1_plot16,8075-7,2018-12-26,,,,,,,,,,,,
Sendusu,SE201812_(162892C1/132498),Enzirabahima_14_Phase1_R26C15,ITC1354,1,17-9128-3_R4C1_plot46,9128-3,2018-12-07,,,,,,,,,,,,
Sendusu,SE201812_(162935C1/132514),Tereza_14_Phase2_R18C8,Tereza,1,17-7197-2_R12C6_plot171,7197-2,2018-12-07,,,,,,,,,,,,
Sendusu,SE201812_(162947C1/132697),Kazirakwe_14_Phase2_R28C10,ITC1355,1,17-SH3217_R13C5_plot185,SH3217,2018-12-24,,,,,,,,,,,,
Sendusu,SE201812_(162971C1/132332),Kazirakwe_14_Phase2_R29C7,ITC1355,1,17-8075-7_R1C11_plot11,8075-7,2018-12-20,,,,,,,,,,,,
Sendusu,SE201812_(162992C1/132484),Kazirakwe_14_Phase2_R29C8,ITC1355,1,17-7197-2_R12C12_plot177,7197-2,2018-12-20,,,,,,,,,,,,
Sendusu,SE201812_(163006C1/132555),Kazirakwe_14_Phase2_R28C4,ITC1355,1,17-9128-3_R4C15_plot60,9128-3,2018-12-28,,,,,,,,,,,,
Sendusu,SE201812_(163062C1/132348),Nakasabira_14_Phase2_R33C10,Nakasabira,1,17-7197-2_R11C3_plot153,7197-2,2018-12-10,,,,,,,,,,,,
Sendusu,SE201812_(163063C1/132552),Nfuuka_14_Phase2_R14C4,Nfuuka,1,17-7197-2_R10C3_plot138,7197-2,2018-12-27,,,,,,,,,,,,
